Name,Author,User Rating,Reviews,Price,Year,Fiction,Non Fiction
10-Day Green Smoothie Cleanse,JJ Smith,4.7,17350,8,2016,0,1
11/22/63: A Novel,Stephen King,4.6,2052,22,2011,1,0
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,18979,15,2018,0,1
1984 (Signet Classics),George Orwell,4.7,21424,6,2017,1,0
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,4.8,7665,12,2019,0,1
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,12643,11,2011,1,0
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,19735,30,2014,1,0
A Gentleman in Moscow: A Novel,Amor Towles,4.7,19699,15,2017,1,0
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,5983,3,2018,0,1
A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,2016,1,0
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,460,2,2010,0,1
A Stolen Life: A Memoir,Jaycee Dugard,4.6,4149,32,2011,0,1
A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.5,5153,5,2018,1,0
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.6,5013,17,2009,0,1
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Adult Coloring Book Designs,4.5,2313,4,2016,0,1
Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,2925,6,2015,0,1
Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.4,2951,6,2015,0,1
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",Coloring Books for Adults,4.5,2426,8,2015,0,1
Alexander Hamilton,Ron Chernow,4.8,9198,13,2016,0,1
All the Light We Cannot See,Anthony Doerr,4.6,36348,14,2014,1,0
Allegiant,Veronica Roth,3.9,6310,13,2013,1,0
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,15921,9,2015,0,1
And the Mountains Echoed,Khaled Hosseini,4.3,12159,13,2013,1,0
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,798,5,2009,0,1
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,9374,9,2017,0,1
"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.2,491,14,2010,0,1
Baby Touch and Feel: Animals,DK,4.6,5360,5,2015,0,1
Balance (Angie's Extreme Stress Menders),Angie Grace,4.6,1909,11,2015,0,1
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,1296,24,2012,0,1
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.7,615,21,2010,0,1
Becoming,Michelle Obama,4.8,61133,11,2018,0,1
Being Mortal: Medicine and What Matters in the End,Atul Gawande,4.8,11113,15,2015,0,1
Between the World and Me,Ta-Nehisi Coates,4.7,10070,13,2015,0,1
Born to Run,Bruce Springsteen,4.7,3729,18,2016,0,1
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.6,9769,13,2009,1,0
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,4.5,471,8,2010,0,1
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2017,1,0
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,4505,0,2011,1,0
Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,4.6,10369,4,2016,0,1
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,16244,18,2019,0,1
Capital in the Twenty First Century,Thomas Piketty,4.5,2884,28,2014,0,1
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2010,1,0
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,4.7,4761,16,2016,0,1
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2009,0,1
Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,4.3,6143,8,2018,1,0
Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,4022,4,2015,0,1
Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,3871,5,2015,0,1
Cutting for Stone,Abraham Verghese,4.6,4866,11,2010,1,0
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,1329,10,2013,0,1
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,4642,13,2013,0,1
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,1541,4,2009,1,0
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.3,1924,8,2010,1,0
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,2094,4,2011,1,0
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2015,1,0
Decision Points,George W. Bush,4.6,2137,17,2010,0,1
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,1651,15,2010,0,1
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,105,2013,0,1
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,6812,0,2013,1,0
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,3837,15,2009,1,0
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.8,6540,22,2014,1,0
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,4.6,7955,5,2019,0,1
Divergent,Veronica Roth,4.6,27098,15,2013,1,0
Divergent / Insurgent,Veronica Roth,4.5,17684,6,2014,1,0
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,4.6,37,6,2009,0,1
Doctor Sleep: A Novel,Stephen King,4.7,15845,13,2013,1,0
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,3181,12,2009,1,0
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,4.9,5062,6,2018,1,0
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,4.9,4786,8,2017,1,0
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4,2018,1,0
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,12619,8,2019,1,0
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,4.9,9089,8,2019,1,0
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,4.9,5470,6,2018,1,0
Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,4.8,5118,20,2016,1,0
Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,4.6,2134,5,2015,0,1
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,2525,16,2010,0,1
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,720,1,2009,0,1
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,4.3,956,14,2009,0,1
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,9,2011,0,1
Eclipse (Twilight Sagas),Stephenie Meyer,4.7,5505,7,2009,1,0
Eclipse (Twilight),Stephenie Meyer,4.7,5505,18,2009,1,0
Educated: A Memoir,Tara Westover,4.7,28729,15,2018,0,1
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,4.7,5413,9,2015,0,1
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,1,0
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,4370,15,2016,1,0
Fear: Trump in the White House,Bob Woodward,4.4,6042,2,2018,0,1
Fifty Shades Darker,E L James,4.4,23631,7,2012,1,0
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,20262,11,2012,1,0
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,14,2012,1,0
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,13964,32,2012,1,0
Fire and Fury: Inside the Trump White House,Michael Wolff,4.2,13677,6,2018,0,1
First 100 Words,Roger Priddy,4.7,17323,4,2014,0,1
Food Rules: An Eater's Manual,Michael Pollan,4.4,1555,9,2010,0,1
Frozen (Little Golden Book),RH Disney,4.7,3642,0,2014,1,0
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,1215,9,2010,0,1
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2011,1,0
George Washington's Sacred Fire,Peter A. Lillback,4.5,408,20,2010,0,1
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,4799,16,2013,0,1
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2015,1,0
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,4.6,7660,12,2019,0,1
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,12,2018,0,1
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,1365,11,2009,0,1
Go Set a Watchman: A Novel,Harper Lee,3.6,14982,19,2015,1,0
Go the F**k to Sleep,Adam Mansbach,4.8,9568,9,2011,1,0
Going Rogue: An American Life,Sarah Palin,4.6,1636,6,2009,0,1
Gone Girl,Gillian Flynn,4.0,57271,10,2012,1,0
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,10141,6,2019,0,1
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2009,0,1
Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2017,1,0
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,7,2012,1,0
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,4.6,5972,10,2014,0,1
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,4.4,25624,14,2015,1,0
Guts,Raina Telgemeier,4.8,5476,7,2019,0,1
Hamilton: The Revolution,Lin-Manuel Miranda,4.9,5867,54,2016,0,1
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,4148,11,2013,0,1
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,4.9,19622,30,2016,1,0
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,4.0,23973,12,2016,1,0
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,4.9,7758,18,2019,1,0
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,4.9,3146,30,2017,1,0
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,4.9,10052,22,2016,1,0
Harry Potter Coloring Book,Scholastic,4.7,3564,9,2015,0,1
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.8,13471,52,2016,1,0
Have a Little Faith: A True Story,Mitch Albom,4.8,1930,4,2009,0,1
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,10,2011,0,1
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14,2016,0,1
Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,4.8,3776,22,2018,0,1
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2014,0,1
Howard Stern Comes Again,Howard Stern,4.3,5272,16,2019,0,1
Humans of New York,Brandon Stanton,4.8,3490,15,2013,0,1
Humans of New York : Stories,Brandon Stanton,4.9,2812,17,2015,0,1
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.7,4896,17,2013,0,1
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,9737,7,2019,0,1
"I, Alex Cross",James Patterson,4.6,1320,7,2009,1,0
If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643,4,2017,1,0
If I Stay,Gayle Forman,4.3,7153,9,2014,1,0
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4.4,4571,21,2011,0,1
Inferno,Dan Brown,4.1,29651,14,2013,1,0
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,4.6,5299,20,2011,1,0
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,4.4,7396,13,2019,0,1
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,4.8,7062,12,2019,0,1
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2011,0,1
JOURNEY TO THE ICE P,RH Disney,4.6,978,0,2014,1,0
Joyland (Hard Case Crime),Stephen King,4.5,4748,12,2013,1,0
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.6,8393,17,2017,0,1
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,11391,12,2013,0,1
Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,8634,25,2012,0,1
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,10,2011,0,1
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,10927,6,2014,0,1
Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,5235,5,2015,0,1
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,4.8,8916,6,2016,0,1
Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,4.8,2507,8,2018,0,1
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2013,0,1
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,4.9,11881,13,2018,1,0
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2013,0,1
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,6132,13,2013,0,1
Leonardo da Vinci,Walter Isaacson,4.5,3014,21,2017,0,1
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,4.4,7550,6,2018,0,1
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,3828,15,2009,0,1
Life,Keith Richards,4.5,2752,18,2010,0,1
Little Bee: A Novel,Chris Cleave,4.1,1467,10,2010,1,0
Little Blue Truck,Alice Schertle,4.9,1884,0,2014,1,0
Little Fires Everywhere,Celeste Ng,4.5,25706,12,2018,1,0
Looking for Alaska,John Green,4.5,8491,7,2014,1,0
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,1649,13,2011,0,1
Love You Forever,Robert Munsch,4.8,18613,5,2014,1,0
Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,4.8,9867,16,2018,0,1
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.5,1386,20,2014,0,1
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,10199,11,2017,0,1
"Mastering the Art of French Cooking, Vol. 2",Julia Child,4.8,2926,27,2009,0,1
Milk and Honey,Rupi Kaur,4.7,17739,8,2016,0,1
Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,4.4,3113,6,2017,0,1
