Name,Author,User Rating,Reviews,Price,Year,Fiction,Non Fiction
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2014,0,1
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2010,1,0
"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,4.8,5347,16,2019,0,1
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,4.8,7866,11,2019,0,1
New Moon (The Twilight Saga),Stephenie Meyer,4.6,5680,10,2009,1,0
Night (Night),Elie Wiesel,4.7,5178,9,2016,0,1
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,8093,14,2012,0,1
Obama: An Intimate Portrait,Pete Souza,4.9,3192,22,2017,0,1
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2012,1,0
Old School (Diary of a Wimpy Kid #10),Jeff Kinney,4.8,6169,7,2015,1,0
Olive Kitteridge,Elizabeth Strout,4.2,4519,12,2009,1,0
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163,13,2011,0,1
"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,4.5,1831,9,2017,0,1
Origin: A Novel (Robert Langdon),Dan Brown,4.3,18904,13,2017,1,0
Orphan Train,Christina Baker Kline,4.6,21930,11,2014,1,0
Outliers: The Story of Success,Malcolm Gladwell,4.6,10426,20,2009,0,1
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,10820,5,2018,0,1
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,4.8,548,2,2010,1,0
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,27,2017,1,0
Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,Scholastic,4.7,3503,9,2016,1,0
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,10,2012,0,1
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2009,0,1
Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Golden Books,4.8,4757,4,2017,1,0
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,10009,20,2012,0,1
Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,1985,9,2010,0,1
Ready Player One: A Novel,Ernest Cline,4.6,22536,12,2017,1,0
Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,4.9,7150,12,2013,1,0
Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),Rush Limbaugh,4.9,3836,12,2014,1,0
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8,7802,20,2018,0,1
Sarah's Key,Tatiana de Rosnay,4.6,3619,10,2010,1,0
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",School Zone,4.8,23047,6,2018,0,1
"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",Johanna Basford,4.7,9366,9,2015,0,1
Sh*t My Dad Says,Justin Halpern,4.7,1265,11,2010,0,1
Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Tucker Carlson,4.8,3923,16,2018,0,1
Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,4.1,2272,6,2013,0,1
Sookie Stackhouse,Charlaine Harris,4.7,973,25,2009,1,0
"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…",Zhi Gang Sha,4.6,220,17,2013,0,1
Steve Jobs,Walter Isaacson,4.6,7827,20,2011,0,1
Strange Planet (Strange Planet Series),Nathan W. Pyle,4.9,9382,6,2019,1,0
StrengthsFinder 2.0,Gallup,4.0,5069,17,2009,0,1
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,4.5,1583,18,2009,0,1
Switch: How to Change Things When Change Is Hard,Chip Heath,4.6,1907,13,2010,0,1
Sycamore Row (Jake Brigance),John Grisham,4.5,23114,18,2013,1,0
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,637,20,2010,0,1
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,4.3,2314,22,2011,0,1
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,4.3,4587,21,2011,0,1
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,28,2010,0,1
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,25554,8,2015,0,1
The 5000 Year Leap,W. Cleon Skousen,4.8,1680,12,2009,0,1
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,24,2009,0,1
The Alchemist,Paulo Coelho,4.7,35799,39,2014,1,0
The Amateur,Edward Klein,4.6,2580,9,2012,0,1
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,11813,10,2010,1,0
The Big Short: Inside the Doomsday Machine,Michael Lewis,4.7,3536,17,2010,0,1
The Blood of Olympus (The Heroes of Olympus (5)),Rick Riordan,4.8,6600,11,2014,1,0
"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman M.D.,4.2,1789,14,2012,0,1
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8,12361,12,2019,0,1
The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,4.7,858,53,2009,0,1
The Book Thief,Markus Zusak,4.6,23148,6,2013,1,0
The Book with No Pictures,B. J. Novak,4.8,8081,8,2014,1,0
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.8,23358,12,2014,0,1
The Casual Vacancy,J.K. Rowling,3.3,9372,12,2012,1,0
The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,Thomas Campbell,4.7,4633,21,2011,0,1
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,4.3,13061,6,2018,0,1
The Confession: A Novel,John Grisham,4.3,3523,13,2010,1,0
The Constitution of the United States,Delegates of the Constitutional,4.8,2774,0,2016,0,1
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,4.4,440,11,2010,0,1
The Day the Crayons Quit,Drew Daywalt,4.8,8922,9,2013,1,0
"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Pierre Dukan,4.1,2023,15,2011,0,1
The Elegance of the Hedgehog,Muriel Barbery,4.0,1859,11,2009,1,0
The Fault in Our Stars,John Green,4.7,50482,13,2012,1,0
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,6,2009,0,1
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,4.6,803,9,2009,0,1
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6,2013,0,1
The Getaway,Jeff Kinney,4.8,5836,0,2017,1,0
The Girl on the Train,Paula Hawkins,4.1,79446,18,2015,1,0
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,7747,14,2010,1,0
The Girl Who Played with Fire (Millennium Series),Stieg Larsson,4.7,7251,9,2010,1,0
The Girl Who Played with Fire (Millennium),Stieg Larsson,4.7,7251,16,2009,1,0
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,10559,2,2009,1,0
The Going-To-Bed Book,Sandra Boynton,4.8,5249,5,2016,1,0
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,3.9,33844,20,2013,1,0
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,7,2012,1,0
The Guardians: A Novel,John Grisham,4.5,13609,14,2019,1,0
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.7,8587,10,2009,1,0
The Handmaid's Tale,Margaret Atwood,4.3,29442,7,2017,1,0
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,4.6,11098,13,2012,1,0
The Hate U Give,Angie Thomas,4.8,9947,11,2018,1,0
The Help,Kathryn Stockett,4.8,13871,6,2009,1,0
"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,4.8,6982,14,2013,1,0
The Hunger Games,Suzanne Collins,4.7,32122,14,2010,1,0
The Hunger Games (Book 1),Suzanne Collins,4.7,32122,8,2011,1,0
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,16949,30,2011,1,0
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,13,2010,0,1
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,4.3,7368,7,2017,0,1
The Last Lecture,Randy Pausch,4.7,4028,9,2009,0,1
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,4628,7,2009,1,0
The Legend of Zelda: Hyrule Historia,Patrick Thorpe,4.9,5396,20,2013,1,0
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,4247,13,2011,0,1
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,22641,11,2015,0,1
The Litigators,John Grisham,4.4,6222,18,2011,1,0
"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,4.8,4506,14,2010,1,0
The Lost Symbol,Dan Brown,4.2,8747,19,2009,1,0
The Love Dare,Stephen Kendrick,4.8,1655,13,2009,0,1
The Magnolia Story,Chip Gaines,4.9,7861,5,2016,0,1
"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,4.8,6247,10,2012,1,0
The Martian,Andy Weir,4.7,39459,9,2015,1,0
The Maze Runner (Book 1),James Dashner,4.5,10101,8,2014,1,0
The Meltdown (Diary of a Wimpy Kid Book 13),Jeff Kinney,4.8,5898,8,2018,1,0
The Mueller Report,The Washington Post,4.6,2744,12,2019,0,1
The Nightingale: A Novel,Kristin Hannah,4.8,49288,11,2015,1,0
The Official SAT Study Guide,The College Board,4.4,1201,40,2010,0,1
"The Official SAT Study Guide, 2016 Edition (Official Study Guide for the New Sat)",The College Board,4.3,807,36,2016,0,1
The Paris Wife: A Novel,Paula McLain,4.3,3759,16,2011,1,0
"The Pioneer Woman Cooks: A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",Ree Drummond,4.8,2663,17,2013,0,1
"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solve…",Ree Drummond,4.8,3428,14,2015,0,1
The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,4.8,2876,21,2012,0,1
"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",Dr. Steven R Gundry MD,4.5,3601,18,2018,0,1
"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain",Dr. Steven R Gundry MD,4.4,7058,17,2018,0,1
The Pout-Pout Fish,Deborah Diesen,4.8,9784,5,2017,1,0
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.6,10795,21,2012,0,1
The President Is Missing: A Novel,James Patterson,4.3,10191,18,2018,1,0
The Racketeer,John Grisham,4.3,14493,18,2012,1,0
"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,4.6,2186,12,2010,1,0
"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,4.6,1204,14,2010,0,1
"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,4.8,2091,12,2012,1,0
The Shack: Where Tragedy Confronts Eternity,William P. Young,4.6,19720,8,2009,1,0
The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,4.6,2122,0,2010,1,0
The Silent Patient,Alex Michaelides,4.5,27536,14,2019,1,0
"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,4.8,4290,10,2011,1,0
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,26490,15,2017,0,1
The Sun and Her Flowers,Rupi Kaur,4.7,5487,9,2017,0,1
"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,4.7,6377,7,2012,1,0
"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,4.7,1463,10,2011,1,0
The Time Traveler's Wife,Audrey Niffenegger,4.4,3759,6,2009,1,0
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.4,3503,9,2009,0,1
The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,Dave Ramsey,4.7,11550,10,2019,0,1
The Twilight Saga Collection,Stephenie Meyer,4.7,3801,82,2009,1,0
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,4.8,3796,12,2010,1,0
The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for…,Dinah Bucholz,4.7,9030,10,2019,0,1
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2013,1,0
The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,7508,16,2015,0,1
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,8842,10,2016,1,0
The Wonky Donkey,Craig Smith,4.8,30183,4,2018,1,0
The Wright Brothers,David McCullough,4.7,6169,16,2015,0,1
"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Charles Krauthammer,4.7,7034,15,2013,0,1
"Thinking, Fast and Slow",Daniel Kahneman,4.6,11034,19,2011,0,1
Thirteen Reasons Why,Jay Asher,4.5,7932,9,2017,1,0
Thomas Jefferson: The Art of Power,Jon Meacham,4.5,1904,23,2012,0,1
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,3319,11,2009,0,1
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,11128,23,2014,0,1
Tina Fey: Bossypants,Tina Fey,4.3,5977,12,2011,0,1
To Kill a Mockingbird,Harper Lee,4.8,26234,0,2013,1,0
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,4.6,4360,21,2017,0,1
"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,4.8,2282,21,2010,1,0
True Compass: A Memoir,Edward M. Kennedy,4.5,438,15,2009,0,1
"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,4.7,11676,9,2009,1,0
Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,DK,4.5,2586,5,2014,1,0
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,29673,16,2010,0,1
Under the Dome: A Novel,Stephen King,4.3,6740,20,2009,1,0
Unfreedom of the Press,Mark R. Levin,4.9,5956,11,2019,0,1
Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books),Silly Bear,4.8,6108,4,2019,0,1
"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",Lysa TerKeurst,4.7,4585,9,2016,0,1
Watchmen,Alan Moore,4.8,3829,42,2009,1,0
Water for Elephants: A Novel,Sara Gruen,4.5,8958,12,2011,1,0
What Happened,Hillary Rodham Clinton,4.6,5492,18,2017,0,1
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,4.7,9292,17,2014,0,1
What Pet Should I Get? (Classic Seuss),Dr. Seuss,4.7,1873,14,2015,1,0
What Should Danny Do? (The Power to Choose Series),Adir Levy,4.8,8170,13,2019,1,0
What to Expect When You're Expecting,Heidi Murkoff,4.4,3341,9,2011,0,1
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,7497,6,2012,0,1
When Breath Becomes Air,Paul Kalanithi,4.8,13779,14,2016,0,1
Where the Crawdads Sing,Delia Owens,4.8,87841,15,2019,1,0
Where the Wild Things Are,Maurice Sendak,4.8,9967,13,2009,1,0
Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,The Staff of The Late Show with,4.6,6669,12,2018,0,1
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.4,17044,18,2012,0,1
Winter of the World: Book Two of the Century Trilogy,Ken Follett,4.5,10760,15,2012,1,0
Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,4.2,1302,11,2010,0,1
Wonder,R. J. Palacio,4.8,21625,9,2013,1,0
Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,4.9,9413,8,2019,1,0
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,14331,8,2016,0,1
